"Start";"End";"Name"


"24.12.2021";"07.01.2022";"Christmas"
"26.02.2022";"06.03.2022";"Carneval"
"14.04.2022";"19.04.2022";"Easter"
"25.04.2022";"25.04.2022";"Liberation Italy"
"01.05.2022";"01.05.2022";"Labour Day"
"02.06.2022";"06.06.2022";"Republic Day + Pfingsten"
"17.06.2022";"04.09.2022";"Summer"

#22/23
"29.10.2022";"06.11.2022";"Autumn"
"08.12.2022";"09.12.2022";"Immaculate Conception"
"24.12.2022";"06.01.2023";"Christmas"
"18.02.2023";"26.02.2023";"Carneval"
"06.04.2023";"11.04.2023";"Easter"
"25.04.2023";"25.04.2023";"Liberation Italy"
"01.05.2023";"01.05.2023";"Labour Day"
"29.05.2023";"29.05.2023";"Whit Monday"
"02.06.2023";"02.06.2023";"Republic Day Italy"
"17.06.2023";"04.09.2023";"summer"

#23/24
"28.10.2023";"05.11.2023";"Autumn"
"08.12.2023";"08.12.2023";"Immaculate Conception"
#   !above is temporary data!
"23.12.2023";"07.01.2024";"Christmas"
"10.02.2024";"18.02.2024";"Carneval"
"28.03.2024";"02.04.2024";"Easter"
"25.04.2024";"28.04.2024";"Liberation Italy"
"01.05.2024";"01.05.2024";"Labour Day"
"18.05.2024";"20.05.2024";"Whitsun"
"02.06.2024";"02.06.2024";"Republic Day Italy"
"15.06.2024";"04.09.2024";"Summer"


#24/25
"26.10.2024";"03.11.2024";"Autumn"
"23.12.2024";"06.01.2025";"Christmas"
"01.03.2025";"09.03.2025";"Carneval"
"13.04.2025";"13.04.2025";"Palm Sunday"
"17.04.2025";"22.04.2025";"Easter"
"25.04.2025";"26.04.2025";"Liberation Italy"
"01.05.2025";"03.05.2025";"Labour Day"
"02.06.2025";"02.06.2025";"Republic Day Italy"
"08.06.2025";"09.06.2025";"Pfingsten"
"14.06.2025";"07.09.2025";"Summer"


#25/26
"25.10.2025";"02.11.2025";"Autumn"
"08.12.2025";"08.12.2025";"Immaculate Conception"
"24.12.2025";"06.01.2026";"Christmas"
"14.02.2026";"22.02.2026";"Carneval"
"29.03.2026";"29.03.2026";"Palm Sunday"
"02.04.2026";"07.04.2026";"Easter"
"25.04.2026";"25.04.2026";"Liberation Italy"
"01.05.2026";"01.05.2026";"Labour Day"
"24.05.2026";"25.05.2026";"Pfingsten"
"01.06.2026";"02.06.2026";"Republic Day Italy"
"17.06.2026";"06.09.2026";"Summer" 


#26/27
"31.10.2026";"08.11.2026";"Autumn"
"07.12.2026";"08.12.2026";"Immaculate Conception"
"24.12.2026";"06.01.2027";"Christmas" 
"06.02.2027";"14.02.2027";"Carneval" 
"21.03.2027";"21.03.2027";"Palm Sunday" 
"25.03.2027";"30.03.2027";"Easter" 
"01.05.2027";"01.05.2027";"Labour Day"
"16.05.2027";"17.05.2027";"Pfingsten" 
"02.06.2027";"02.06.2027";"Republic Day Italy" 
"17.06.2027";"05.09.2027";"Summer" 


#27/28
"30.10.2027";"07.11.2027";"Autumn" 
"08.12.2027";"08.12.2027";"Immaculate Conception"
"24.12.2027";"09.01.2028";"Christmas"
"26.02.2028";"05.03.2028";"Carneval"
"09.04.2028";"09.04.2028";"Palm Sunday"
"13.04.2028";"18.04.2028";"Easter"
"24.04.2028";"25.04.2028";"Liberation Italy"
"01.05.2028";"01.05.2028";"Labour Day"
"02.06.2028";"02.06.2028";"Republic Day Italy"
"04.06.2028";"05.06.2028";"Pfingsten"
"17.06.2028";"04.09.2028";"Summer"


